abstract	class
protein-l-isoaspartate (d-aspartate) o-methyltransferases (ec 2.1.1.77) that catalyze the transfer of methyl groups from s-adenosylmethionine to abnormal l-isoaspartyl and d-aspartyl residues in a variety of peptides and proteins are widely distributed in procaryotes and eucaryotes. these enzymes participate in the repair of spontaneous protein damage by facilitating the conversion of l-isoaspartyl and d-aspartyl residues to normal l-aspartyl residues. in this work, we have identified an l-isoaspartyl methyltransferase activity in arabidopsis thaliana, a dicotyledonous plant of the mustard family. the highest levels of activity were detected in seeds. using degenerate oligonucleotides corresponding to two highly conserved amino acid regions shared among the escherichia coli, wheat, and human enzymes, we isolated and sequenced a full-length genomic clone encoding the a. thaliana methyltransferase. several methyltransferase cdnas were also characterized, including ones that would encode full-length polypeptides of amino acid residues. messenger rnas for the a. thaliana enzyme were found in a variety of tissues that did not contain significant amounts of active enzyme suggesting the possibility of translational or posttranslational controls on methyltransferase levels. we have identified a putative abscisic acid-response element (abre) in the 5′-untranslated region of the a. thaliana l-isoaspartyl methyltransferase gene and have shown that the expression of the mrna is responsive to exogenous abscisic acid (aba), but not to the environmental stresses of salt or drought. the expression of the a. thaliana enzyme appears to be regulated in a distinct fashion from that seen in wheat or in animal tissues.	biology
deubiquitinating enzymes (dubs), capable of removing ubiquitin (ub) from protein substrates, are involved in numerous biological processes. the ubiquitin c-terminal hydrolases (uchs) subfamily of dubs consists of four members: uch-l1, uch-l3, uch37 and brca1-associated protein-1 (bap1). uch-l1 possesses deubiquitinating activity and dimerization-dependent ubiquitin ligase activity, and functions as a mono-ubiquitin stabilizer; uch-l3 does both deubiquitinating and deneddylating activity, except dimerization or ligase activity, and unlike uch-l1, can interact with lys48-linked ub dimers to protect it from degradation and in the meanwhile to inhibit its hydrolase activity; uch37 is responsible for the deubiquitinating activity in the 19s proteasome regulatory complex, and as indicated by the recent study, uch37 is also associated with the human ino80 chromatin-remodeling complex (hino80) in the nucleus and can be activated via transient association of 19s regulatory particle- or proteasome-bound hrpn13 with hino80; bap1, binding to the wild-type brca1 ring finger domain, is regarded as a tumor suppressor, but for such suppressing activity, as demonstrated otherwise, both deubiquitinating activity and nucleus localization are required. there is growing evidence that uch enzymes and human malignancies are closely correlated. previous studies have shown that uch enzymes play a crucial role in some signalings and cell-cycle regulation. in this review, we provided an insight into the relation between uch enzymes and oncogenesis.	biology
abstract lake trout salvelinus namaycush were extirpated from lake michigan by the early 1950s, and as part of an effort to restore naturally reproducing populations, hatchery-reared fish have been stocked since the early 1960s. stocked fish are marked with a fin clip to differentiate them from wild, lake-produced lake trout; marking error for the 2007–2010 year-classes of lake trout stocked by federal hatcheries averaged 3.0%. egg deposition, emergent fry, and wild juvenile lake trout have previously been observed, but no sustained wild recruitment has been measured in assessment surveys or in sport and commercial fishery catches. in and we caught juvenile lake trout in gill-net and bottom trawl catches that were targeting bloater coregonus hoyi in water depths greater than m. unclipped, wild lake trout represented 20% of all lake trout caught in a southern offshore region of lake michigan. in northwestern lake michigan wild recruits represented from 10% to 27% of the 2007–2009 year-classes...	biology
in a previous study, we observed increased protective activity against acid precipitation of poly (u) in the serum of tumor bearing mice and hepatoma patients. in the present study we purified and partially characterized the protein responsible for this phenomenon and measured the activity in the serum of patients with various cancers. evidence is presented that this protein forms a complex with serum ribonucleases which results in the inactivation of enzymes and protection of rna from acid precipitation. the serum protective activity against acid precipitation of poly (u) was measured in patients with gastrointestinal cancer and with gynecological cancer, along with male subjects with nonmalignant diseases of the gastrointestinal system, with uterine leiomyoma, healthy men and healthy women from the hospital personnel. the mean values found in patients with various tumors were about three times higher than those found in healthy individuals, while no significant overlapping of values was observed between cancer patients and controls. on the other hand, the activity was not increased in patients with nonmalignant diseases of gastrointestinal system and uterus.	biology
matrix metalloproteinase-13 (mmp-13), referred to as collagenase-3, is a proteolytic enzyme that plays a key role in degradation and remodelling of host extracellular matrix proteins. the objective of this study was to characterize the mmp-13 gene in channel catfish, and to determine its pattern of expression in various healthy tissues and during embryogenesis. since mmp-13 has been shown to have importance in tissue remodelling and some pathological processes, we further studied its involvement in the defense responses of catfish after bacterial infection. the channel catfish mmp-13 cdna contains an open reading frame of bp encoding amino acids. using rt-pcr analysis, mmp-13 was widely expressed in various health tissues. using quantitative real-time pcr analysis, expression of mmp-13 gene was up-regulated by bacterial infection. during normal embryological development, mmp-13 expression was slightly increased in the first day post-fertilization and sharply up-regulated from 1-day post-fertilization through hatching.	biology
among the modes of transmission available to the cytomegalovirus (cmv) is sexual transmission, primarily via semen. both male-to-female (m-f) and male-to-male (m-m) sexual transmission significantly contribute toward the spread of cmv infections in the global population. semen plays an important role in carrying the viral particle that invades the vaginal or rectal mucosa, thereby initiating viral replication. both semen and seminal plasma (sp) can enhance hiv-1 infection in cell culture, and two amyloid fibrils, semen-derived enhancer of viral infection (sevi) and amyloids derived from the semenogelins (sem amyloids), have been identified as seminal factors sufficient to enhance hiv-1 infection (j. munch et al., cell 131:1059-1071, 2007; n. r. roan et al., cell host microbe 10:541-550, 2011; f. arnold et al., j. virol. 86:1244-1249, 2012). whether sp, sevi, or sem amyloids can enhance other viral infections has not been extensively examined. in this study, we found that sp, sevi, and sem amyloids strongly enhance both human cmv (hcmv) and murine cmv infection in cell culture. sevi and sem amyloids increased infection rates by >10-fold, as determined by both flow cytometry and fluorescence microscopy. viral replication was increased by 50- to 100-fold. moreover, viral growth curve assays showed that sp, sevi, and sem amyloids sped up the kinetics of cmv replication such that the virus reached its replicative peak more quickly. finally, we discovered that sem amyloids and sevi counteracted the effect of anti-gh in protecting against cmv infection. collectively, the data suggest that semen enhances cmv infection through interactions between semen amyloid fibrils and viral particles, and these interactions may prevent hcmv from being neutralized by anti-gh antibody.	biology
abstract during hiv infection, cd4 + -cell numbers and cd4/cd8 ratios decline in the blood. this is usually attributed to direct viral killing or to other indirect mechanisms. however, current models generally assume that such changes in the blood are representative of changes in total cd4 + -cell numbers throughout the body. this article discusses the importance of alterations in cd4 + - and cd8 + -cell migration in regulating blood lymphocyte levels and questions the extent of virus-mediated cd4 + -cell destruction.	biology
summary a mass emergence of chironomus anthracinus (zetterstedt) took place at loch leven, kinross, in late may and early june leading to a large concentration of egg masses. the distribution of egg masses within the lake was determined on june and the accumulation of egg masses along wind-exposed shores, under the influence of a 17–23 km h−1 wind, was noted. oviposition site selection by the weak flying adults appears to have little importance upon the final distribution of larvae within the lake. temporary planktonic activity of first instar larvae under the influence of wind-induced water currents is briefly discussed as a dispersal mechanism in the light of observed egg mass accumulation in the lake.	biology
we used a modified functional balance (fb) model to predict growth response of helianthus annuus l. to elevated co2. model predictions were evaluated against measurements obtained twice during the experiment. there was a good agreement between model predictions of relative growth rate (rgr) responses to elevated co2and observations, particularly at the second harvest. the model was then used to compare the relative effects of biomass allocation to roots, nitrogen (n) uptake and photosynthetic n-use efficiency (pnue) in determining plant growth response to elevated co2. the model predicted that a rather substantial increase in biomass allocation to root growth had little effect on whole plant growth response to elevated co2, suggesting that plasticity in root allocation is relatively unimportant in determining growth response. average n uptake rate at elevated compared to ambient co2was decreased by 21–29%. in contrast, elevated co2increased pnue by approx. 50% due to a corresponding rise in the co2-saturation factor for carboxylation at elevated co2. the model predicted that the decreased n uptake rate at elevated co2lowered rgr modestly, but this effect was counterbalanced by an increase in pnue resulting in a positive co2effect on growth. increased pnue may also explain why in many experiments elevated co2enhances biomass accumulation despite a significant drop in tissue nitrogen concentration. the formulation of the fb model as presented here successfully predicted plant growth responses to elevated co2. it also proved effective in resolving which plant properties had the greatest leverage on such responses.	biology
abstract the physical state of epstein barr virus (ebv) dna was analyzed in the burkitt's lymphoma (bl) cell line bl60 and in the autologous ebv-immortalized lymphoblastoid cell line (lcl) iarc by gardella gel analysis, southern blotting, and nonradioactive in situ hybridization to metaphase chromosomes. although only episomal viral dna was detected in the lcl, the 6–12 copies of ebv dna in the bl cell line are integrated in one site of the host cell genome. the integration site is located near the breakpoint of a translocation 11;19 which is present in this cell line in addition to the bl-specific t(8;22).	biology
